iter	Passed	Remaining
0	20	40749
1	43	43703
2	57	38398
3	77	38542
4	100	40121
5	118	39509
6	136	38820
7	155	38608
8	176	39090
9	195	38836
10	214	38704
11	233	38661
12	254	38906
13	272	38623
14	294	38913
15	312	38757
16	335	39103
17	353	38938
18	374	39086
19	392	38810
20	409	38581
21	428	38564
22	449	38645
23	472	38886
24	492	38888
25	514	39056
26	534	39092
27	554	39066
28	576	39179
29	596	39163
30	617	39228
31	639	39353
32	660	39374
33	681	39385
34	704	39552
35	726	39636
36	749	39782
37	770	39759
38	791	39816
39	815	39962
40	838	40040
41	859	40056
42	879	40045
43	902	40123
44	921	40044
45	941	39990
46	960	39923
47	980	39882
48	1001	39877
49	1025	39978
50	1048	40057
51	1066	39944
52	1092	40127
53	1116	40225
54	1135	40161
55	1158	40209
56	1180	40231
57	1230	41205
58	1259	41443
59	1300	42059
60	1331	42313
61	1356	42409
62	1376	42315
63	1396	42250
64	1417	42187
65	1434	42038
66	1459	42112
67	1476	41958
68	1496	41888
69	1520	41931
70	1544	41972
71	1563	41865
72	1586	41877
73	1603	41735
74	1627	41773
75	1653	41867
76	1680	41971
77	1699	41889
78	1721	41860
79	1742	41815
80	1763	41767
81	1785	41768
82	1809	41790
83	1832	41792
84	1858	41863
85	1882	41904
86	1904	41868
87	1928	41900
88	1950	41875
89	1973	41874
90	1996	41884
91	2024	41984
92	2051	42073
93	2074	42059
94	2096	42039
95	2119	42029
96	2142	42040
97	2164	42002
98	2187	42011
99	2211	42010
100	2232	41982
101	2253	41925
102	2275	41902
103	2299	41924
104	2321	41899
105	2343	41877
106	2368	41901
107	2390	41877
108	2409	41805
109	2429	41737
110	2453	41747
111	2472	41671
112	2495	41665
113	2509	41515
114	2536	41569
115	2555	41502
116	2578	41490
117	2603	41517
118	2625	41494
119	2644	41434
120	2667	41425
121	2689	41395
122	2711	41371
123	2732	41335
124	2755	41332
125	2777	41306
126	2797	41253
127	2821	41258
128	2842	41233
129	2865	41225
130	2888	41207
131	2909	41173
132	2931	41150
133	2951	41098
134	2973	41074
135	2997	41082
136	3016	41022
137	3044	41079
138	3068	41082
139	3093	41103
140	3123	41177
141	3146	41174
142	3173	41210
143	3199	41243
144	3224	41245
145	3257	41359
146	3288	41450
147	3316	41498
148	3335	41440
149	3358	41417
150	3381	41411
151	3408	41444
152	3430	41411
153	3448	41340
154	3470	41304
155	3490	41256
156	3511	41224
157	3533	41190
158	3558	41204
159	3583	41208
160	3602	41148
161	3625	41136
162	3646	41099
163	3676	41160
164	3699	41144
165	3721	41119
166	3742	41079
167	3765	41066
168	3785	41017
169	3806	40973
170	3829	40961
171	3850	40917
172	3875	40924
173	3895	40885
174	3920	40881
175	3940	40838
176	3963	40817
177	3982	40768
178	4008	40781
179	4034	40791
180	4058	40791
181	4079	40747
182	4105	40762
183	4128	40745
184	4149	40708
185	4173	40699
186	4198	40701
187	4221	40685
188	4243	40664
189	4267	40656
190	4290	40635
191	4311	40597
192	4332	40561
193	4358	40578
194	4382	40565
195	4404	40541
196	4425	40502
197	4449	40494
198	4470	40460
199	4493	40443
200	4519	40446
201	4542	40436
202	4567	40431
203	4587	40389
204	4610	40369
205	4630	40325
206	4655	40321
207	4677	40300
208	4700	40276
209	4726	40289
210	4749	40266
211	4772	40250
212	4792	40204
