iter	R2	RMSE
0	-1.90335565	22415.58353
1	-1.65728369	21444.64646
2	-1.434057259	20524.15686
3	-1.230789581	19648.49242
4	-1.048356909	18827.93739
5	-0.8830245397	18052.10786
6	-0.7331310807	17318.71379
7	-0.5975232967	16627.36881
8	-0.4742274065	15972.84106
9	-0.3620659974	15353.20347
10	-0.2608380612	14771.6696
11	-0.1684802007	14220.36058
12	-0.08599730008	13709.26914
13	-0.01034543836	13223.14841
14	0.05705205549	12774.49642
15	0.11934538	12345.331
16	0.1771551469	11933.25465
17	0.2294909101	11547.52239
18	0.2764457717	11190.13878
19	0.3186159741	10859.15179
20	0.3572306868	10546.96482
21	0.3926661467	10252.11985
22	0.4244864588	9979.93478
23	0.4540550795	9720.180836
24	0.4807311742	9479.731902
25	0.5053018823	9252.733609
26	0.5274084438	9043.63256
27	0.5475628112	8848.691975
28	0.5664803958	8661.723192
29	0.5839407793	8485.501323
30	0.5997060292	8323.183207
31	0.6137934597	8175.413765
32	0.6261640234	8043.415003
33	0.6384016209	7910.668168
34	0.6492863115	7790.696542
35	0.6592178051	7679.596071
36	0.668083391	7579.043894
37	0.6768639542	7478.123496
38	0.6847708034	7386.065377
39	0.6916619992	7304.886223
40	0.6984115924	7224.490959
41	0.7047393019	7148.299675
42	0.710386884	7079.605256
43	0.7165814142	7003.483232
44	0.7223655693	6931.649459
45	0.727928447	6861.854385
46	0.7328034607	6800.100704
47	0.737111609	6745.057154
48	0.7410756729	6694.010018
49	0.7449189375	6644.144031
50	0.7491006208	6589.45844
51	0.7523424818	6546.748963
52	0.7555081909	6504.772124
53	0.758315772	6467.316048
54	0.7608947216	6432.71798
55	0.7634723682	6397.95044
56	0.7658983642	6365.054902
57	0.7681059962	6334.97185
58	0.7701405857	6307.119763
59	0.7720860406	6280.372348
60	0.774050027	6253.254102
61	0.7758188272	6228.729893
62	0.7778052262	6201.073082
63	0.7793260776	6179.814472
64	0.7807396648	6159.989426
65	0.7820208684	6141.96573
66	0.7831987843	6125.34827
67	0.7844690136	6107.377829
68	0.7855207292	6092.458676
69	0.7867700344	6074.688995
70	0.7877847171	6060.218158
71	0.7888018894	6045.67705
72	0.7900791872	6027.367604
73	0.7909732768	6014.518098
74	0.7917901591	6002.754141
75	0.7927211163	5989.319215
76	0.793869853	5972.699794
77	0.7946488701	5961.402951
78	0.7954212381	5950.181356
79	0.7961667107	5939.330412
80	0.7968191998	5929.816621
81	0.7976288449	5917.990112
82	0.798409179	5906.569338
83	0.7992115269	5894.803307
84	0.8000059495	5883.13031
85	0.8007407787	5872.312303
86	0.8014529714	5861.808494
87	0.8019309185	5854.748901
88	0.8024876574	5846.514753
89	0.8030040453	5838.867014
90	0.8036094241	5829.88854
91	0.8042339538	5820.611523
92	0.8051128117	5807.53151
93	0.8056610679	5799.35689
94	0.8061281259	5792.383852
95	0.8066153406	5785.100923
96	0.8071775483	5776.685582
97	0.8077698468	5767.80655
98	0.8082374933	5760.786483
99	0.8087522481	5753.049347
100	0.8092752282	5745.177908
101	0.8097010405	5738.76098
102	0.8100977336	5732.776411
103	0.8106717021	5724.106364
104	0.8109817397	5719.417642
105	0.8116498922	5709.300031
106	0.8120060921	5703.898881
107	0.8123253576	5699.053427
108	0.8128890997	5690.487506
109	0.8135217588	5680.859025
110	0.8138963537	5675.150342
111	0.8142701101	5669.448707
112	0.8146524078	5663.610838
113	0.8149989465	5658.313821
114	0.8153509006	5652.928946
115	0.8156915283	5647.712477
116	0.8160980447	5641.480655
117	0.8165548669	5634.46943
118	0.8167769608	5631.057619
119	0.8171389848	5625.491764
120	0.8176079371	5618.273766
121	0.8180090856	5612.092019
122	0.8182308852	5608.671136
123	0.8186956648	5601.495923
124	0.8189548839	5597.490133
125	0.8195139638	5588.840732
126	0.8198537852	5583.576882
127	0.8201382502	5579.166688
128	0.8204909799	5573.693307
129	0.8209177086	5567.064475
130	0.8213904754	5559.711256
131	0.8216593669	5555.524687
132	0.8219770192	5550.574858
133	0.8222999498	5545.53825
134	0.8225635394	5541.423764
135	0.8227396078	5538.673731
136	0.8230283243	5534.161279
137	0.8232588673	5530.555397
138	0.8234513695	5527.542703
139	0.8237112797	5523.472453
140	0.8240781152	5517.722622
141	0.8244774727	5511.456216
142	0.8248482535	5505.631828
143	0.8250916479	5501.80513
144	0.8253441362	5497.832641
145	0.8256190221	5493.504496
146	0.8258554646	5489.778921
147	0.8262001575	5484.343135
148	0.8263775249	5481.54396
149	0.8265593878	5478.672355
150	0.8268249494	5474.476446
151	0.8270303501	5471.228878
152	0.8273152137	5466.721741
153	0.8275544239	5462.934063
154	0.8276829145	5460.898445
155	0.8279522626	5456.628822
156	0.8282124232	5452.501662
157	0.8286203824	5446.023545
158	0.8291860105	5437.02898
159	0.8294486342	5432.847702
160	0.8297945267	5427.33577
161	0.8300044686	5423.987533
162	0.8304599045	5416.716942
163	0.8307462093	5412.141366
164	0.8309008177	5409.668884
165	0.8312100485	5404.720305
166	0.831386358	5401.896817
167	0.8316837223	5397.131367
168	0.8319332557	5393.129187
169	0.8321222616	5390.095808
170	0.8323575112	5386.317874
171	0.8326289779	5381.955023
172	0.8327845823	5379.452646
173	0.8329925179	5376.106878
174	0.8332387303	5372.142529
175	0.833458904	5368.594956
176	0.8336599085	5365.354203
177	0.8339061845	5361.380874
178	0.8340983498	5358.278502
179	0.834276052	5355.408028
180	0.8344920404	5351.917033
181	0.8347553992	5347.657311
182	0.8351469345	5341.318107
183	0.8353618208	5337.835762
184	0.835519565	5335.277989
185	0.8356485981	5333.184844
186	0.8358367553	5330.13113
187	0.8361809792	5324.539985
188	0.8363544958	5321.719369
189	0.8365313294	5318.843295
190	0.8367117757	5315.906859
191	0.8368647751	5313.4158
