iter	R2	RMSE
0	-1.906855705	22381.00061
1	-1.660109406	21410.04161
2	-1.436247725	20489.36435
3	-1.234346999	19621.99101
4	-1.050665848	18798.15435
5	-0.8857522638	18026.44471
6	-0.736406402	17297.90275
7	-0.6001446449	16605.32512
8	-0.4780016155	15958.98316
9	-0.3651481077	15337.60849
10	-0.2636136483	14756.21302
11	-0.1723714673	14213.47867
12	-0.08887411951	13697.98227
13	-0.01265773189	13209.88703
14	0.05726956242	12745.63645
15	0.1200680839	12313.80572
16	0.1767125633	11910.87059
17	0.2276720137	11536.35597
18	0.2748125223	11178.74141
19	0.3182867868	10838.48592
20	0.3566613628	10529.011
21	0.392335474	10232.92295
22	0.4250258028	9953.869433
23	0.4550244831	9690.724743
24	0.4821411457	9446.555165
25	0.5062649459	9223.903338
26	0.5286048368	9012.812226
27	0.548448907	8821.068831
28	0.5676313617	8631.67052
29	0.5850263709	8456.253845
30	0.6004450472	8297.66737
31	0.6148610777	8146.601398
32	0.6284500005	8001.591844
33	0.640673281	7868.872671
34	0.651979423	7744.087
35	0.6618886061	7633.042229
36	0.6712052024	7527.144106
37	0.6794881217	7431.728349
38	0.687574446	7337.380417
39	0.6949282742	7250.513098
40	0.7020574675	7165.293995
41	0.708185032	7091.229549
42	0.7139061197	7021.373018
43	0.719203576	6956.063667
44	0.7241575307	6894.429388
45	0.7287625135	6836.638518
46	0.7338285679	6772.491718
47	0.7386072201	6711.422132
48	0.7425719021	6660.329818
49	0.7464969763	6609.358876
50	0.7502023806	6560.877206
51	0.7538122157	6513.298947
52	0.7570923799	6469.762398
53	0.7600027958	6430.886626
54	0.7627384587	6394.129616
55	0.7652990012	6359.533082
56	0.7676348587	6327.807378
57	0.7698301968	6297.844528
58	0.7720175196	6267.848624
59	0.7738829202	6242.153526
60	0.7758442144	6215.022973
61	0.7775578314	6191.22122
62	0.779157876	6168.914055
63	0.7806635998	6147.847947
64	0.7821619413	6126.813224
65	0.7835411965	6107.386275
66	0.7848803826	6088.464391
67	0.7863229694	6068.015506
68	0.7875639231	6050.369503
69	0.78870741	6034.063766
70	0.7897457234	6019.219504
71	0.7907910939	6004.237274
72	0.7916912346	5991.306457
73	0.7925324207	5979.197265
74	0.7933188796	5967.853666
75	0.7943241534	5953.32249
76	0.7952244893	5940.278011
77	0.7960545432	5928.22638
78	0.7967328909	5918.359163
79	0.7974263682	5908.254837
80	0.7981239664	5898.073002
81	0.7989179812	5886.462483
82	0.7995805938	5876.755839
83	0.8002488398	5866.950407
84	0.8008626415	5857.929397
85	0.8014917821	5848.668511
86	0.8021789677	5838.536423
87	0.8026618618	5831.405945
88	0.8034184828	5820.21601
89	0.8040731027	5810.517219
90	0.8045896263	5802.853008
91	0.8051088968	5795.137822
92	0.805530268	5788.869641
93	0.8059628598	5782.427478
94	0.8063328498	5776.91188
95	0.806702257	5771.399713
96	0.8071214015	5765.139001
97	0.80783766	5754.424566
98	0.8084080877	5745.877305
99	0.8088578893	5739.128525
100	0.8093736604	5731.380165
101	0.80972822	5726.047581
102	0.810200966	5718.929738
103	0.8108441051	5709.232142
104	0.8112868752	5702.546233
105	0.8115998911	5697.814901
106	0.8120424522	5691.118743
107	0.8123886434	5685.87521
108	0.8127358785	5680.611004
109	0.8131658713	5674.085394
110	0.813682561	5666.234121
111	0.814081967	5660.15755
112	0.8144520243	5654.521664
113	0.8147940949	5649.307008
114	0.8150647392	5645.177787
115	0.8156419548	5636.361105
116	0.8159581925	5631.524877
117	0.8163313824	5625.81233
118	0.8168549645	5617.787888
119	0.8171248281	5613.647465
120	0.8177066036	5604.711086
121	0.8181283762	5598.223515
122	0.8185611384	5591.559081
123	0.8189359802	5585.780183
124	0.8192966274	5580.214471
125	0.8195031337	5577.025049
126	0.8199425556	5570.232244
127	0.8202343776	5565.71653
128	0.8205645168	5560.603469
129	0.8209007511	5555.391171
130	0.8211605566	5551.36032
131	0.8213605394	5548.255614
132	0.8216905795	5543.127987
133	0.8220897035	5536.920702
134	0.8223078981	5533.524336
135	0.8226602614	5528.035126
136	0.8229116412	5524.115731
137	0.8231375476	5520.59113
138	0.8234562723	5515.614546
139	0.8236850315	5512.039916
140	0.8240325549	5506.605019
141	0.8244059528	5500.759486
142	0.8247059573	5496.058421
143	0.8251559153	5489.00004
144	0.8253935866	5485.268082
145	0.8258096145	5478.729417
146	0.8261034668	5474.106267
147	0.8263051972	5470.930201
148	0.8265745253	5466.686991
149	0.8270350939	5459.423183
150	0.8275520985	5451.257772
151	0.8278590414	5446.40422
152	0.8281265952	5442.169978
153	0.8283681135	5438.344937
154	0.8286647308	5433.643582
155	0.8289774509	5428.68259
156	0.8291949949	5425.228796
157	0.8294218159	5421.625377
158	0.8295823154	5419.074133
159	0.8298557151	5414.725499
160	0.8301213656	5410.496776
161	0.8304005281	5406.049398
162	0.830589817	5403.031727
163	0.830933235	5397.552601
164	0.8312030972	5393.243128
165	0.8313979552	5390.129268
166	0.8315572786	5387.581918
167	0.8317079976	5385.171032
168	0.8319584904	5381.161782
169	0.8324927332	5372.600995
170	0.8326426961	5370.195513
171	0.832807765	5367.546478
172	0.832959788	5365.105646
173	0.8331706084	5361.718944
174	0.8334764951	5356.801252
175	0.8336706264	5353.677891
176	0.8338329264	5351.065262
177	0.8341440847	5346.052812
178	0.8343202942	5343.212166
179	0.8345371105	5339.714831
180	0.8347983877	5335.497279
181	0.8351019028	5330.593729
182	0.8353140615	5327.163442
183	0.8355621312	5323.149724
184	0.836029362	5315.581793
185	0.8362503919	5311.997924
186	0.8366506419	5305.501945
187	0.8367795032	5303.408858
188	0.8369665076	5300.369886
189	0.8370692646	5298.699261
190	0.8373434755	5294.238552
191	0.8375185767	5291.388137
192	0.8376944748	5288.523203
193	0.837903439	5285.117688
194	0.8381961423	5280.343773
195	0.8383149237	5278.405247
196	0.838553687	5274.506449
197	0.8387306225	5271.615385
198	0.838984797	5267.459485
199	0.8392344516	5263.374294
200	0.8394418457	5259.978216
201	0.8396013632	5257.364623
202	0.8399724603	5251.279402
203	0.8402127453	5247.335463
204	0.8403554257	5244.992162
205	0.8404522464	5243.401439
206	0.8406175247	5240.684869
207	0.8409042111	5235.969454
208	0.8411919354	5231.232692
209	0.8414040181	5227.73846
210	0.8416246671	5224.10061
211	0.8418218762	5220.847069
212	0.8420645171	5216.841215
213	0.8422200145	5214.272428
214	0.8423389765	5212.306344
215	0.8425394479	5208.991477
216	0.8428496671	5203.857729
217	0.8430853723	5199.953707
218	0.8432362337	5197.453428
219	0.8433779474	5195.10366
220	0.8437008607	5189.74543
221	0.8438076365	5187.97244
222	0.8439417247	5185.745074
223	0.8441100678	5182.947336
224	0.844320738	5179.444027
225	0.8444219045	5177.76085
226	0.8445817473	5175.100319
227	0.8447962112	5171.528489
228	0.844919449	5169.474885
229	0.8450527465	5167.252728
230	0.8452254799	5164.371728
231	0.8454095256	5161.300283
232	0.8455408198	5159.108063
233	0.8457182927	5156.143315
234	0.845937355	5152.48145
235	0.8462328941	5147.537062
236	0.8464742305	5143.495964
237	0.8466617758	5140.353386
238	0.8468296924	5137.538083
239	0.8469374082	5135.731299
240	0.8470832866	5133.283376
241	0.8472205669	5130.978668
