iter	Passed	Remaining
0	21	42627
1	43	43096
2	57	38078
3	81	40471
4	95	38194
5	111	37048
6	131	37579
7	150	37560
8	173	38317
9	193	38484
10	212	38464
11	230	38126
12	251	38422
13	272	38674
14	290	38499
15	310	38500
16	333	38928
17	360	39670
18	383	39934
19	411	40718
20	437	41183
21	462	41582
22	487	41869
23	509	41988
24	535	42271
25	561	42646
26	602	44014
27	624	43974
28	646	43931
29	669	43977
30	694	44102
31	715	44002
32	739	44075
33	761	44046
34	786	44155
35	807	44055
36	831	44109
37	855	44163
38	877	44098
39	898	44014
40	930	44453
41	1036	48330
42	1062	48349
43	1090	48468
44	1117	48531
45	1141	48497
46	1163	48367
47	1188	48339
48	1218	48497
49	1239	48347
50	1262	48229
51	1281	48016
52	1305	47970
53	1327	47829
54	1347	47663
55	1369	47545
56	1387	47294
57	1411	47262
58	1431	47092
59	1451	46921
60	1473	46845
61	1496	46790
62	1519	46724
63	1544	46726
64	1567	46655
65	1588	46539
66	1605	46322
67	1628	46255
68	1651	46221
69	1673	46131
70	1699	46176
71	1724	46169
72	1748	46152
73	1766	45970
74	1790	45949
75	1815	45970
76	1839	45930
77	1866	45988
78	1888	45925
79	1916	45993
80	1937	45891
81	1960	45864
82	1988	45916
83	2016	45991
84	2038	45919
85	2064	45949
86	2092	46016
87	2133	46364
88	2159	46357
89	2185	46385
90	2211	46390
91	2233	46313
92	2259	46329
93	2282	46290
94	2307	46269
95	2333	46281
96	2356	46237
97	2387	46340
98	2421	46499
99	2446	46476
100	2467	46395
101	2490	46339
102	2515	46337
103	2542	46354
104	2566	46327
105	2592	46328
106	2619	46347
107	2641	46269
108	2665	46248
109	2684	46129
110	2714	46199
111	2741	46208
112	2762	46130
113	2783	46042
114	2802	45933
115	2826	45905
116	2851	45895
117	2878	45912
118	2904	45906
119	2928	45882
120	2951	45840
121	2980	45874
122	3020	46094
123	3046	46089
124	3070	46063
125	3093	46009
126	3115	45953
127	3134	45835
128	3155	45773
129	3179	45732
130	3197	45615
131	3220	45576
132	3243	45527
133	3267	45495
134	3285	45383
135	3306	45325
136	3329	45271
137	3354	45261
138	3377	45216
139	3398	45157
140	3423	45135
141	3447	45108
142	3475	45128
143	3495	45058
144	3519	45028
145	3542	44980
146	3568	44988
147	3592	44951
148	3615	44916
149	3640	44896
150	3665	44879
151	3689	44850
152	3708	44764
153	3732	44737
154	3757	44725
155	3779	44673
156	3804	44657
157	3828	44627
158	3853	44613
159	3876	44576
160	3899	44543
161	3922	44502
162	3945	44463
163	3964	44387
164	3983	44302
165	4005	44252
166	4026	44195
167	4041	44073
168	4060	43994
169	4081	43937
170	4103	43889
171	4119	43786
172	4140	43727
173	4162	43679
174	4184	43640
175	4206	43597
176	4230	43567
177	4251	43517
178	4275	43498
179	4298	43459
180	4321	43426
181	4345	43407
182	4367	43364
183	4390	43332
184	4410	43270
185	4433	43241
186	4456	43209
187	4481	43189
188	4503	43156
189	4527	43134
190	4550	43095
191	4570	43036
192	4593	43005
193	4614	42955
194	4637	42921
195	4662	42917
196	4687	42898
197	4712	42889
198	4732	42829
199	4754	42791
200	4780	42784
201	4803	42753
202	4826	42724
203	4845	42662
204	4872	42666
205	4897	42653
206	4922	42636
207	4943	42591
208	4964	42546
209	4991	42543
210	5015	42527
211	5040	42508
212	5068	42521
213	5092	42497
214	5115	42471
215	5135	42417
216	5160	42405
217	5180	42345
218	5202	42307
219	5224	42268
220	5246	42235
221	5266	42179
222	5288	42138
223	5313	42125
224	5339	42122
225	5360	42081
226	5384	42058
227	5408	42036
228	5444	42104
229	5470	42098
230	5495	42087
231	5517	42046
232	5544	42045
233	5565	42001
234	5586	41956
235	5609	41930
236	5632	41897
237	5655	41867
238	5677	41830
239	5699	41798
240	5717	41727
241	5738	41689
242	5764	41681
243	5789	41667
244	5810	41622
245	5834	41599
246	5857	41568
247	5880	41545
248	5903	41512
249	5923	41466
250	5944	41420
251	5965	41380
252	5987	41341
253	6011	41325
254	6035	41304
255	6058	41273
256	6080	41236
257	6102	41207
258	6123	41159
259	6144	41118
260	6165	41080
261	6190	41067
262	6215	41051
263	6238	41024
264	6265	41020
265	6286	40980
266	6311	40964
267	6334	40940
268	6357	40907
269	6381	40891
270	6401	40844
271	6425	40817
272	6446	40781
273	6469	40751
274	6494	40736
275	6516	40705
276	6537	40664
277	6561	40641
278	6586	40625
279	6611	40616
280	6636	40597
281	6659	40571
282	6681	40540
283	6703	40504
284	6727	40480
285	6752	40465
286	6778	40455
287	6799	40417
288	6820	40378
289	6847	40377
290	6869	40342
291	6888	40291
292	6910	40259
293	6935	40244
294	6957	40212
295	6977	40165
296	7000	40142
297	7022	40108
298	7047	40091
299	7071	40070
300	7093	40041
301	7114	40000
302	7135	39965
303	7156	39923
304	7178	39891
305	7200	39859
306	7225	39845
307	7248	39820
308	7274	39807
309	7298	39788
310	7323	39773
311	7346	39744
312	7372	39736
313	7398	39723
314	7421	39698
315	7444	39674
316	7469	39655
317	7494	39642
318	7518	39621
319	7542	39595
320	7570	39599
321	7596	39588
322	7622	39573
323	7647	39559
324	7671	39535
325	7693	39507
326	7720	39498
327	7746	39488
328	7775	39489
329	7798	39465
330	7823	39448
331	7847	39424
332	7869	39395
333	7891	39365
334	7918	39356
335	7941	39331
336	7962	39294
337	7984	39260
338	8007	39236
339	8033	39219
340	8057	39201
341	8080	39172
342	8103	39147
343	8127	39125
344	8151	39104
345	8176	39086
346	8201	39069
347	8224	39042
348	8248	39018
349	8293	39096
350	8328	39126
351	8355	39116
352	8383	39113
353	8405	39081
354	8425	39041
355	8448	39016
356	8471	38989
357	8494	38959
358	8513	38916
359	8536	38887
360	8557	38853
361	8579	38820
362	8602	38792
363	8620	38747
364	8641	38710
365	8661	38669
366	8681	38630
367	8700	38586
368	8723	38560
369	8745	38529
370	8770	38510
371	8794	38487
372	8816	38455
373	8836	38415
374	8862	38403
375	8882	38365
376	8902	38326
377	8926	38302
378	8949	38277
379	8975	38262
380	9005	38268
381	9030	38249
382	9055	38233
383	9079	38207
384	9105	38196
385	9129	38174
386	9159	38176
387	9177	38129
388	9201	38105
389	9226	38087
390	9253	38078
391	9276	38052
392	9307	38058
393	9333	38046
394	9352	38003
395	9377	37984
396	9403	37968
397	9428	37952
398	9455	37941
399	9486	37947
400	9509	37920
401	9533	37894
402	9553	37860
403	9578	37839
404	9602	37817
405	9624	37787
406	9648	37762
407	9670	37734
408	9689	37690
409	9707	37647
410	9731	37624
411	9752	37588
412	9777	37571
413	9799	37539
414	9827	37535
415	9854	37523
416	9889	37542
417	9917	37532
418	9940	37506
419	9967	37498
420	9996	37493
421	10019	37466
422	10039	37430
423	10061	37399
424	10084	37371
425	10106	37340
426	10131	37324
427	10154	37296
428	10177	37271
429	10203	37254
430	10234	37258
431	10257	37230
432	10284	37218
433	10310	37205
434	10333	37175
435	10355	37145
436	10376	37113
437	10398	37083
438	10420	37054
439	10444	37029
440	10469	37011
441	10491	36981
442	10516	36961
443	10536	36925
444	10561	36905
445	10587	36890
446	10612	36869
447	10637	36851
448	10658	36817
449	10686	36809
450	10719	36818
451	10745	36800
452	10765	36763
453	10789	36740
454	10810	36709
455	10830	36671
456	10853	36646
457	10876	36617
458	10900	36596
459	10920	36561
460	10944	36535
461	10963	36498
462	10990	36483
463	11015	36464
464	11042	36451
465	11068	36436
466	11092	36414
467	11113	36380
468	11137	36356
469	11163	36339
470	11186	36313
471	11207	36282
472	11229	36252
473	11253	36230
474	11275	36198
475	11295	36165
476	11316	36133
477	11335	36094
478	11357	36065
479	11378	36032
480	11399	35999
481	11419	35962
482	11441	35935
483	11460	35898
484	11484	35875
485	11503	35837
486	11527	35814
487	11552	35795
488	11574	35766
489	11599	35745
490	11624	35725
491	11646	35697
492	11668	35668
493	11688	35633
494	11712	35611
495	11735	35586
496	11758	35558
497	11782	35535
498	11802	35503
499	11823	35471
500	11850	35456
501	11871	35424
502	11893	35397
503	11914	35366
504	11936	35337
505	11959	35312
506	11983	35288
507	12006	35263
508	12026	35230
509	12047	35198
510	12076	35191
511	12103	35176
512	12128	35155
513	12150	35128
514	12173	35103
515	12196	35077
516	12220	35054
517	12244	35030
518	12265	35000
519	12289	34978
520	12312	34953
521	12338	34935
522	12362	34912
523	12392	34908
524	12414	34879
525	12442	34867
526	12468	34849
527	12495	34835
528	12518	34811
529	12545	34795
530	12571	34778
531	12595	34756
532	12619	34732
533	12647	34720
534	12675	34708
535	12699	34686
536	12720	34656
537	12743	34629
538	12765	34602
539	12791	34583
540	12818	34569
541	12843	34549
542	12864	34517
543	12885	34487
544	12910	34468
545	12935	34446
546	12954	34411
547	12972	34373
548	12995	34348
549	13022	34331
550	13044	34304
551	13067	34278
552	13092	34257
553	13115	34231
554	13138	34206
555	13166	34194
556	13189	34168
557	13212	34143
558	13237	34123
559	13258	34094
560	13283	34072
561	13306	34047
562	13325	34013
563	13348	33987
564	13371	33961
565	13391	33929
566	13418	33913
567	13440	33884
568	13460	33852
569	13481	33822
570	13503	33793
571	13524	33764
572	13546	33735
573	13568	33709
574	13588	33676
575	13608	33644
576	13633	33623
577	13654	33593
578	13678	33570
579	13701	33545
580	13725	33522
581	13752	33506
582	13779	33491
583	13807	33478
584	13838	33473
585	13867	33460
586	13896	33451
587	13928	33446
588	13959	33440
589	13989	33432
590	14018	33420
591	14045	33404
592	14075	33397
593	14100	33377
594	14130	33366
595	14157	33351
596	14183	33331
597	14210	33317
598	14240	33307
599	14269	33294
600	14295	33276
