iter	R2	RMSE
0	-1.911226896	22365.26236
1	-1.664261116	21395.59473
2	-1.440440031	20477.17491
3	-1.237032779	19605.23912
4	-1.054561804	18788.64993
5	-0.8890585416	18016.01265
6	-0.7374190138	17277.79253
7	-0.6015573713	16588.50393
8	-0.4789703896	15941.00541
9	-0.3656867805	15318.33357
10	-0.2631648868	14732.14525
11	-0.1703948861	14180.8472
12	-0.08629225042	13661.84363
13	-0.01095958969	13179.61937
14	0.05823500816	12720.58959
15	0.1217137441	12284.4018
16	0.1790884274	11876.38202
17	0.2307775553	11496.40205
18	0.2778912858	11138.77067
19	0.3206683712	10803.80874
20	0.3593942559	10491.3502
21	0.3950666253	10195.05898
22	0.4269490544	9922.762266
23	0.4568093742	9660.778012
24	0.4835506103	9419.97725
25	0.5077775746	9196.374906
26	0.5301381805	8985.061369
27	0.5506346019	8786.902019
28	0.5688318128	8607.149068
29	0.5856900947	8437.205516
30	0.6012975645	8276.760986
31	0.6155330412	8127.659123
32	0.6284310876	7990.163299
33	0.6405521063	7858.758466
34	0.6513503387	7739.815238
35	0.6613217495	7628.332657
36	0.6704212225	7525.157411
37	0.6789574631	7427.065585
38	0.6867207673	7336.717094
39	0.6941147219	7249.620241
40	0.7005627981	7172.802083
41	0.7067276995	7098.580188
42	0.7125139793	7028.203622
43	0.718731613	6951.786584
44	0.724418674	6881.147424
45	0.7297003685	6814.887587
46	0.7345818272	6753.070711
47	0.739365439	6691.938972
48	0.7434580811	6639.190637
49	0.7473942839	6588.060163
50	0.750991803	6540.979553
51	0.7542658176	6497.83615
52	0.7572767223	6457.905473
53	0.7602283543	6418.519748
54	0.7628921392	6382.766337
55	0.7653847531	6349.128045
56	0.7676898077	6317.861511
57	0.7699219041	6287.436428
58	0.7723019473	6254.831691
59	0.7743445522	6226.713463
60	0.7762995706	6199.681497
61	0.77806189	6175.212562
62	0.7796983638	6152.40379
63	0.7813779895	6128.905309
64	0.7829058643	6107.451344
65	0.7842497936	6088.517794
66	0.7855343114	6070.36605
67	0.7867652545	6052.920304
68	0.7878843632	6037.015797
69	0.7889903116	6021.257049
70	0.7902604909	6003.107124
71	0.7912819616	5988.471154
72	0.7922405332	5974.703813
73	0.7929847276	5963.993519
74	0.7938337935	5951.750398
75	0.7949832395	5935.135701
76	0.7959518022	5921.099394
77	0.7967908556	5908.912968
78	0.797489657	5898.74435
79	0.7981507194	5889.108728
80	0.7989218207	5877.849226
81	0.7996660903	5866.961024
82	0.8002709363	5858.097596
83	0.8010049511	5847.32328
84	0.8018272347	5835.229674
85	0.8023701371	5827.231266
86	0.8030548515	5817.127907
87	0.8036516755	5808.307086
88	0.8041415137	5801.057451
89	0.8047714845	5791.720506
90	0.8053753966	5782.755629
91	0.8060017383	5773.443086
92	0.8065660816	5765.039462
93	0.8074158755	5752.362037
94	0.8078770862	5745.469876
95	0.8084723993	5736.561498
96	0.808937535	5729.591481
97	0.8093615291	5723.230571
98	0.8101047579	5712.063297
99	0.810496203	5706.172912
100	0.8108465239	5700.896193
101	0.8112212915	5695.245833
102	0.8116555939	5688.690849
103	0.8123189329	5678.664379
104	0.8126840586	5673.137888
105	0.8129809078	5668.640848
106	0.8134218057	5661.954989
107	0.8140943382	5651.741345
108	0.8143955751	5647.160519
109	0.8148014819	5640.982123
110	0.8153006331	5633.375142
111	0.8157007408	5627.270143
112	0.8162152136	5619.410371
113	0.8165825442	5613.791805
114	0.8169998526	5607.401965
115	0.817498674	5599.754428
116	0.8177944727	5595.214538
117	0.8180905291	5590.667001
118	0.818421385	5585.580551
119	0.8187050329	5581.216168
120	0.8190718271	5575.567378
121	0.8193355357	5571.502612
122	0.8195023344	5568.93007
123	0.8198542814	5563.498076
124	0.8202396659	5557.543913
125	0.8206409034	5551.338036
126	0.8210166811	5545.519646
127	0.8214347851	5539.038707
128	0.8216587185	5535.564445
129	0.8219719248	5530.701478
130	0.8222165855	5526.899801
131	0.8224709301	5522.944875
132	0.8227669971	5518.337619
133	0.8232207513	5511.269032
134	0.8234670564	5507.428291
135	0.823997676	5499.144997
136	0.824225233	5495.588868
137	0.8244999448	5491.292764
138	0.8247863926	5486.809543
139	0.825172988	5480.753088
140	0.8255957064	5474.123055
141	0.8260284192	5467.327941
142	0.8263064148	5462.957973
143	0.8264863474	5460.127647
144	0.8268955985	5453.684688
145	0.8270323806	5451.52959
146	0.8273373144	5446.722076
147	0.8276902456	5441.152541
148	0.8279693573	5436.743897
149	0.828227643	5432.661017
150	0.8285238608	5427.974742
151	0.8288169734	5423.333605
152	0.8291488143	5418.074449
153	0.8294402956	5413.450713
154	0.8298869939	5406.357112
155	0.8301857128	5401.608238
156	0.830522318	5396.252059
157	0.830754706	5392.551116
158	0.8310615555	5387.660428
159	0.8312658074	5384.402517
160	0.8315263685	5380.243584
161	0.8316562193	5378.169778
162	0.8318878693	5374.46818
163	0.8321865393	5369.691886
164	0.8326746261	5361.877304
165	0.8330056505	5356.570903
166	0.8332453033	5352.725928
167	0.8333919114	5350.372394
168	0.8337111028	5345.244758
169	0.8338989581	5342.224664
170	0.8340909682	5339.136008
171	0.8344454304	5333.429466
172	0.8346220999	5330.582955
173	0.8348221641	5327.357671
174	0.8351470088	5322.116606
175	0.8353121825	5319.449701
176	0.8355188467	5316.111006
177	0.8357356302	5312.606577
178	0.8358592786	5310.606694
179	0.8360719494	5307.165205
180	0.8363880245	5302.046277
181	0.8365744381	5299.024936
182	0.8367418853	5296.309526
183	0.8369533462	5292.878379
184	0.8371901381	5289.033571
185	0.8374594413	5284.657476
186	0.8376546614	5281.482941
187	0.8378132793	5278.9022
188	0.8379873637	5276.068364
189	0.8382027496	5272.560092
190	0.8384850604	5267.958189
191	0.8385797391	5266.413947
192	0.8388656839	5261.747335
193	0.8390915748	5258.057874
194	0.8392864905	5254.872245
195	0.839522008	5251.02046
196	0.8396674448	5248.640493
197	0.8399830069	5243.472834
198	0.8401191623	5241.241573
199	0.8404005798	5236.626804
200	0.840608427	5233.215849
201	0.8407543614	5230.819609
202	0.8410897407	5225.308521
203	0.8412201706	5223.163674
204	0.8413420073	5221.159342
205	0.8415129886	5218.345234
206	0.8416795623	5215.602209
207	0.8417854517	5213.857742
208	0.8419684224	5210.842031
209	0.8421699119	5207.519072
210	0.8423118413	5205.177103
211	0.8426087367	5200.274639
212	0.8427386483	5198.128028
213	0.8428634499	5196.065017
214	0.8430609154	5192.799176
215	0.8431540129	5191.258743
216	0.8434445948	5186.447701
217	0.8436645559	5182.802929
218	0.8439510287	5178.052205
219	0.8440915475	5175.720317
220	0.8442410369	5173.238409
221	0.8443508349	5171.414721
222	0.8444898241	5169.105261
223	0.8446754024	5166.020061
224	0.8448924844	5162.408778
225	0.8450496497	5159.792665
226	0.8451755719	5157.695657
227	0.8453001176	5155.620733
228	0.8454812656	5152.601324
229	0.8456881199	5149.151275
230	0.8457845785	5147.541686
231	0.8459090637	5145.463677
232	0.8460377553	5143.314569
233	0.8461991088	5140.618748
234	0.8463793043	5137.606451
235	0.8465630249	5134.533405
236	0.8467099202	5132.075004
237	0.8468927921	5129.01286
238	0.8470256689	5126.786726
239	0.8471354029	5124.947582
240	0.8472375015	5123.235813
241	0.8473502552	5121.344739
242	0.8474670406	5119.38531
243	0.8476204731	5116.809873
244	0.8479043368	5112.041668
245	0.84800667	5110.321634
246	0.8481737386	5107.512271
247	0.8483467784	5104.600868
248	0.8484610221	5102.677802
249	0.8485617834	5100.981083
250	0.8486987368	5098.674022
251	0.8488066609	5096.855239
252	0.8490320907	5093.054107
253	0.8491410335	5091.216128
254	0.8492718385	5089.008435
255	0.8493849267	5087.098988
256	0.849476485	5085.552539
257	0.8496879254	5081.979446
258	0.8497800291	5080.422216
259	0.8499052288	5078.304655
260	0.8499994647	5076.710216
261	0.8501651161	5073.906237
262	0.8502920583	5071.756441
263	0.8504737416	5068.678002
264	0.8505496244	5067.391692
265	0.8507286361	5064.355922
266	0.8508284328	5062.662728
267	0.8509548705	5060.516719
268	0.8510779538	5058.426769
269	0.8511606729	5057.021717
270	0.8512989291	5054.672448
271	0.8514647377	5051.853565
272	0.8517372821	5047.216664
273	0.8518464064	5045.358897
274	0.851959191	5043.438095
275	0.8521533925	5040.128992
276	0.8522526586	5038.436705
277	0.852383667	5036.202404
278	0.8525115037	5034.021239
279	0.852602126	5032.474459
280	0.8526868498	5031.027926
281	0.852760088	5029.777158
282	0.8530529538	5024.772459
283	0.8531767704	5022.655093
284	0.8532527331	5021.355627
285	0.8534153539	5018.572599
286	0.8536256617	5014.971186
287	0.8537398709	5013.014328
288	0.8538985593	5010.294096
289	0.8540263901	5008.101749
290	0.8541293329	5006.335544
291	0.8543037341	5003.34189
292	0.8543870245	5001.911551
293	0.8545105791	4999.789006
294	0.8546222914	4997.869125
295	0.8547077309	4996.400267
296	0.8548982475	4993.123391
297	0.855098612	4989.674811
298	0.8551695388	4988.45348
299	0.8552743097	4986.64882
300	0.8555035103	4982.698603
301	0.8556874617	4979.525979
302	0.8558055662	4977.487955
303	0.8558817834	4976.172299
304	0.855962306	4974.781947
305	0.8561291352	4971.900133
306	0.8562164177	4970.391748
307	0.856326346	4968.491353
308	0.8564153366	4966.952387
309	0.8565473311	4964.668852
310	0.8566680424	4962.5796
311	0.8568086538	4960.144809
312	0.8569026634	4958.516297
313	0.8569985771	4956.854248
314	0.857085184	4955.352995
315	0.8572272092	4952.89013
316	0.8573267764	4951.1628
317	0.8574005421	4949.882695
318	0.8575178149	4947.846903
319	0.8576385337	4945.750413
320	0.8577784987	4943.318568
321	0.8578537857	4942.009986
322	0.8580337315	4938.880899
323	0.8581757883	4936.409266
324	0.8583511094	4933.357162
325	0.8584141886	4932.258577
326	0.8584948188	4930.853967
327	0.8586315476	4928.471184
328	0.8587546327	4926.325183
329	0.8588439732	4924.766936
330	0.8589257541	4923.340111
331	0.8590679353	4920.858499
332	0.8591320067	4919.739797
333	0.8592143114	4918.302363
334	0.8593153648	4916.536912
335	0.8594571536	4914.058725
336	0.8596175473	4911.253854
337	0.859722106	4909.424531
338	0.8598690401	4906.852668
339	0.8600002677	4904.554585
340	0.8601090403	4902.64892
341	0.8602542492	4900.103749
342	0.8602976776	4899.342294
343	0.8603440759	4898.528635
344	0.860457495	4896.539104
345	0.8605425286	4895.046965
346	0.8606029161	4893.98703
347	0.8607198363	4891.934167
348	0.8608854789	4889.024372
349	0.8609506005	4887.879925
350	0.8610103866	4886.829008
351	0.8611290441	4884.742582
352	0.8612766579	4882.145758
353	0.8613516944	4880.825186
354	0.8614374208	4879.316043
355	0.8615151429	4877.947405
356	0.8615899164	4876.630328
357	0.861697465	4874.735319
358	0.8618102255	4872.747684
359	0.8618765368	4871.578433
360	0.8619873749	4869.623426
361	0.8620555097	4868.421247
362	0.8621460456	4866.82336
363	0.8621968044	4865.927278
364	0.8623144694	4863.849418
365	0.8623802785	4862.6869
366	0.8624578485	4861.316269
367	0.8625174781	4860.262375
368	0.8625849143	4859.070232
369	0.8626269104	4858.327672
370	0.8627279124	4856.541328
371	0.8628195912	4854.919307
372	0.8628455489	4854.459955
373	0.8629186251	4853.166549
374	0.8630396814	4851.023165
375	0.8630930209	4850.078453
376	0.8632441125	4847.40142
377	0.8633488692	4845.544481
378	0.8634781008	4843.252711
379	0.8635339934	4842.261187
380	0.863610693	4840.90022
381	0.8637008743	4839.299541
382	0.8637626602	4838.202563
383	0.8638894273	4835.951096
384	0.8639297278	4835.235114
385	0.8639725963	4834.47339
386	0.8640097082	4833.813859
387	0.8641829373	4830.734139
388	0.864266221	4829.252797
389	0.8643842483	4827.152701
390	0.8644955202	4825.17197
391	0.8645972615	4823.36018
392	0.8646953589	4821.612635
393	0.8647474533	4820.684348
394	0.8648386009	4819.059727
395	0.864958174	4816.92762
396	0.8650127304	4815.954511
397	0.8650705713	4814.922603
398	0.8651752105	4813.055228
399	0.8652569071	4811.596781
400	0.8653351499	4810.199575
401	0.865485344	4807.516378
402	0.8655876699	4805.687479
403	0.8656833327	4803.977043
404	0.8657806709	4802.236027
405	0.8659130154	4799.867864
406	0.8659792418	4798.682375
407	0.8661304459	4795.974641
408	0.8662111152	4794.529405
409	0.8663075177	4792.801729
410	0.8664105895	4790.953838
411	0.866489507	4789.53851
412	0.866544389	4788.553992
413	0.8665898142	4787.738968
414	0.8666400806	4786.836919
415	0.8667228073	4785.351986
416	0.8667557391	4784.760738
417	0.866833888	4783.357381
418	0.8669012157	4782.148014
419	0.866972548	4780.866383
420	0.8670120605	4780.15631
421	0.8670903187	4778.749637
422	0.8671278525	4778.074827
423	0.8671875447	4777.001443
424	0.8672462983	4775.944701
425	0.8672998965	4774.980479
426	0.8673694981	4773.728069
427	0.867439613	4772.466091
428	0.8675369723	4770.713193
429	0.8675957982	4769.653756
430	0.8676711575	4768.296212
431	0.8677408523	4767.040368
432	0.8678331917	4765.375974
433	0.8679002097	4764.167628
434	0.867941125	4763.429768
435	0.8680440986	4761.572251
436	0.868090869	4760.728331
437	0.8681378707	4759.880086
438	0.8681891516	4758.954443
439	0.8682661295	4757.564619
440	0.8683137391	4756.704831
