iter	Passed	Remaining
0	25	50038
1	47	47786
2	65	43391
3	85	42715
4	110	44116
5	130	43415
6	152	43299
7	174	43426
8	200	44319
9	222	44261
10	241	43616
11	269	44724
12	295	45150
13	317	45023
14	338	44789
15	357	44391
16	378	44135
17	399	43996
18	419	43749
19	446	44170
20	467	44022
21	486	43724
22	507	43617
23	526	43309
24	547	43291
25	568	43151
26	589	43060
27	607	42780
28	630	42829
29	650	42703
30	672	42727
31	694	42714
32	714	42601
33	735	42509
34	758	42580
35	779	42501
36	798	42386
37	824	42592
38	846	42552
39	868	42540
40	889	42516
41	913	42599
42	935	42577
43	959	42653
44	982	42676
45	1002	42578
46	1026	42636
47	1046	42557
48	1071	42661
49	1101	42954
50	1122	42895
51	1147	42983
52	1169	42973
53	1212	43683
54	1271	44956
55	1295	44988
56	1320	45004
57	1342	44957
58	1363	44869
59	1388	44889
60	1406	44699
61	1427	44615
62	1444	44425
63	1462	44254
64	1482	44141
65	1519	44521
66	1541	44459
67	1562	44395
68	1584	44343
69	1607	44316
70	1630	44311
71	1653	44290
72	1677	44288
73	1704	44374
74	1723	44223
75	1747	44241
76	1770	44207
77	1791	44145
78	1812	44080
79	1835	44040
80	1856	43977
81	1880	43982
82	1902	43950
83	1926	43950
84	1950	43946
85	1972	43908
86	1994	43859
87	2016	43807
88	2039	43799
89	2064	43810
90	2084	43733
91	2105	43674
92	2129	43670
93	2151	43634
94	2173	43588
95	2195	43549
96	2217	43510
97	2245	43588
98	2269	43570
99	2292	43561
100	2314	43519
101	2338	43515
102	2372	43693
103	2402	43806
104	2426	43797
105	2449	43773
106	2475	43791
107	2499	43780
108	2519	43716
109	2539	43636
110	2561	43584
111	2576	43434
112	2602	43453
113	2623	43398
114	2645	43362
115	2671	43386
116	2694	43367
117	2719	43372
118	2740	43311
119	2764	43305
120	2788	43307
121	2812	43295
122	2834	43257
123	2858	43241
124	2878	43176
125	2899	43124
126	2921	43088
127	2943	43054
128	2968	43051
129	2993	43062
130	3018	43059
131	3037	42989
132	3056	42902
133	3080	42890
134	3101	42846
135	3123	42810
136	3143	42752
137	3165	42705
138	3185	42654
139	3209	42646
140	3232	42614
141	3253	42568
142	3278	42571
143	3299	42521
144	3316	42433
145	3338	42398
146	3364	42407
147	3389	42410
148	3409	42358
149	3434	42357
150	3455	42313
151	3478	42290
152	3502	42283
153	3528	42299
154	3552	42287
155	3576	42276
156	3602	42286
157	3624	42257
158	3646	42215
159	3669	42195
160	3689	42143
161	3711	42111
162	3733	42072
163	3757	42068
164	3778	42020
165	3801	42002
166	3827	42008
167	3849	41975
168	3870	41938
169	3893	41908
170	3914	41871
171	3937	41847
172	3961	41837
173	3983	41803
174	4007	41787
175	4026	41732
176	4048	41699
177	4070	41660
178	4093	41647
179	4117	41630
180	4140	41612
181	4161	41570
182	4185	41562
183	4207	41525
184	4229	41496
185	4249	41447
186	4272	41427
187	4293	41384
188	4314	41345
189	4337	41318
190	4356	41265
191	4381	41263
192	4398	41183
193	4419	41142
194	4442	41118
195	4465	41100
196	4489	41090
197	4512	41069
198	4534	41037
199	4555	40996
200	4577	40970
201	4597	40920
202	4615	40859
203	4639	40844
204	4661	40816
205	4685	40806
206	4706	40769
207	4729	40748
208	4754	40746
209	4776	40715
210	4799	40689
211	4821	40667
212	4843	40637
213	4868	40632
214	4890	40599
215	4910	40554
216	4933	40533
217	4956	40518
218	4978	40484
219	5003	40482
220	5029	40484
221	5050	40452
222	5071	40409
223	5094	40391
224	5117	40368
225	5138	40336
226	5154	40257
227	5174	40217
228	5197	40192
229	5218	40161
230	5237	40110
231	5260	40092
232	5285	40085
233	5308	40063
234	5335	40074
235	5359	40059
236	5384	40057
237	5407	40033
238	5430	40011
239	5453	39992
240	5475	39967
241	5499	39948
