iter	R2	RMSE
113	0.8151478121	5643.398252
114	0.8159012368	5631.885765
115	0.8164005797	5624.242716
116	0.8167571719	5618.778276
117	0.8170845206	5613.757283
118	0.8174299529	5608.454043
119	0.8179131398	5601.027504
120	0.8182062155	5596.518156
121	0.8185202375	5591.682487
122	0.819065754	5583.272043
123	0.8194693143	5577.042032
124	0.8198396509	5571.318785
125	0.8201548701	5566.442697
126	0.8204080742	5562.522818
127	0.8207403309	5557.374922
128	0.8209279024	5554.466631
129	0.8211749694	5550.633541
130	0.8214538995	5546.302932
131	0.8218206071	5540.604356
132	0.8221263109	5535.849287
133	0.8223953922	5531.660479
134	0.822568927	5528.957367
135	0.8228930416	5523.905167
136	0.8231661155	5519.644982
137	0.8234187707	5515.700418
138	0.8237715538	5510.187887
139	0.8239674334	5507.124723
140	0.8242704059	5502.383482
141	0.8244715922	5499.232842
142	0.8246446979	5496.520507
143	0.8248165897	5493.825869
144	0.8250639702	5489.945519
145	0.8256030499	5481.480135
146	0.825932565	5476.299182
147	0.8262434433	5471.406759
148	0.8267756659	5463.020774
149	0.8270264458	5459.064887
150	0.8273100649	5454.587524
151	0.8276596462	5449.063786
152	0.8280372308	5443.091271
153	0.828354732	5438.06406
154	0.8286538584	5433.323534
155	0.8291945005	5424.744979
156	0.8294271598	5421.049117
157	0.8296829543	5416.982834
158	0.8300764451	5410.721672
159	0.8304264141	5405.146926
160	0.8307495053	5399.995216
161	0.8310017597	5395.969584
162	0.8312672412	5391.72962
163	0.831531624	5387.503886
164	0.8318066228	5383.104953
165	0.8319835078	5380.273566
166	0.8323779954	5373.953655
167	0.8326468877	5369.641588
168	0.8328934281	5365.68492
169	0.8330931606	5362.477319
170	0.8333199646	5358.832637
171	0.8335245664	5355.542611
172	0.833770526	5351.584867
173	0.8339884474	5348.075841
174	0.8341228686	5345.910208
175	0.8343889235	5341.621261
176	0.8345305683	5339.336465
177	0.8348267861	5334.555174
178	0.8350708879	5330.611873
179	0.8353361914	5326.322758
180	0.835576824	5322.429507
181	0.8358547032	5317.930086
182	0.8361872697	5312.54016
183	0.836517166	5307.188102
184	0.8368597943	5301.623767
185	0.8370558477	5298.437201
186	0.8372274265	5295.646862
187	0.8376423791	5288.892516
188	0.8378262003	5285.897628
189	0.8380780953	5281.790896
190	0.8382607775	5278.810565
191	0.8384788235	5275.251096
192	0.8386334098	5272.726112
193	0.8388189081	5269.69462
194	0.8389783948	5267.086826
195	0.8391635551	5264.057618
196	0.8393370172	5261.218209
197	0.8395616143	5257.539492
198	0.8396874734	5255.476895
199	0.8398282908	5253.1682
200	0.8399978192	5250.387445
201	0.8401938158	5247.170698
202	0.8403622433	5244.404845
203	0.8407044868	5238.780151
204	0.8408703787	5236.051583
205	0.8411113074	5232.086283
206	0.8412894003	5229.153229
207	0.8414910965	5225.829457
208	0.8416449789	5223.292191
209	0.8417734061	5221.173696
210	0.8419265352	5218.646601
211	0.8421818262	5214.430802
212	0.8423638921	5211.422137
213	0.8425728755	5207.966514
214	0.8427924105	5204.333945
215	0.8429326761	5202.011692
216	0.8431449463	5198.495348
217	0.8434168711	5193.987322
218	0.8435428034	5191.898264
219	0.8437067412	5189.177484
220	0.8438884285	5186.160457
221	0.8440341815	5183.738872
222	0.8443018299	5179.289131
223	0.8444258463	5177.226021
224	0.8445711352	5174.80798
225	0.8447022218	5172.625338
226	0.8448726257	5169.786672
227	0.845051182	5166.810524
228	0.8451732254	5164.775339
229	0.8452815107	5162.968909
230	0.8454885911	5159.512607
231	0.8456217712	5157.288525
232	0.8457474224	5155.189292
233	0.8458435124	5153.583357
234	0.8459900652	5151.133082
235	0.8461363385	5148.686317
236	0.8462570762	5146.665819
237	0.8464499215	5143.436982
238	0.8465911958	5141.070318
239	0.84675203	5138.374656
240	0.846901069	5135.875422
241	0.8470233095	5133.824666
242	0.8471757907	5131.26543
243	0.8473012971	5129.157979
244	0.8474043043	5127.427679
245	0.8475782568	5124.504323
246	0.8477037036	5122.395092
247	0.847936158	5118.484367
248	0.8480952847	5115.805556
249	0.8483653142	5111.256543
250	0.8485644733	5107.898843
251	0.8486543719	5106.382485
252	0.8488008711	5103.910454
253	0.8489380819	5101.594069
254	0.8490596024	5099.541689
255	0.8491447414	5098.103271
256	0.8493624377	5094.423455
257	0.8494712598	5092.582991
258	0.8495902486	5090.56982
259	0.8497222856	5088.334955
260	0.849906289	5085.218864
261	0.8500845839	5082.197626
262	0.8502324943	5079.689894
263	0.8503650672	5077.441147
264	0.8506328521	5072.895848
265	0.8507698042	5070.569691
266	0.8509065325	5068.24627
267	0.8511017763	5064.926648
268	0.8512817469	5061.864779
269	0.8514536628	5058.938216
