iter	Passed	Remaining
0	29	59704
1	57	57228
2	72	48001
3	90	44925
4	111	44647
5	128	42730
6	148	42334
7	166	41427
8	185	41061
9	206	41054
10	227	41065
11	243	40395
12	262	40083
13	281	39880
14	302	39994
15	320	39701
16	342	39935
17	362	39892
18	384	40050
19	402	39863
20	422	39824
21	440	39606
22	461	39628
23	479	39456
24	501	39621
25	522	39682
26	547	39979
27	565	39799
28	586	39855
29	601	39509
30	621	39445
31	640	39400
32	663	39553
33	688	39828
34	709	39848
35	734	40085
36	757	40194
37	778	40201
38	800	40274
39	821	40272
40	842	40259
41	862	40214
42	880	40072
43	901	40084
44	926	40249
45	948	40305
46	968	40250
47	987	40172
48	1010	40242
49	1038	40514
50	1093	41801
51	1115	41790
52	1136	41747
53	1162	41897
54	1186	41976
55	1209	41982
56	1232	42000
57	1251	41905
58	1274	41944
59	1299	42001
60	1318	41916
61	1342	41969
62	1361	41868
63	1382	41826
64	1405	41838
65	1431	41945
66	1455	42005
67	1480	42075
68	1504	42098
69	1524	42046
70	1547	42031
71	1566	41954
72	1588	41928
73	1612	41974
74	1633	41938
75	1656	41939
76	1694	42313
77	1714	42240
78	1738	42281
79	1761	42277
80	1783	42263
81	1807	42283
82	1830	42271
83	1855	42324
84	1878	42327
85	1903	42353
86	1929	42417
87	1950	42368
88	1974	42402
89	1999	42436
90	2018	42339
91	2039	42306
92	2061	42263
93	2082	42226
94	2106	42240
95	2130	42255
96	2154	42276
97	2178	42282
98	2199	42228
99	2220	42198
100	2248	42277
101	2272	42283
102	2296	42301
103	2319	42286
104	2338	42206
105	2358	42146
106	2381	42128
107	2404	42127
108	2421	42014
109	2445	42012
110	2468	42004
111	2492	42014
112	2513	41975
113	2538	41995
114	2558	41938
115	2577	41866
116	2598	41813
117	2622	41830
118	2645	41816
119	2667	41788
120	2692	41812
121	2714	41788
122	2736	41759
123	2760	41758
124	2780	41708
125	2803	41700
126	2826	41687
127	2848	41661
128	2870	41633
129	2895	41653
130	2920	41667
131	2940	41613
132	2964	41612
133	2988	41614
134	3009	41579
135	3031	41555
136	3057	41582
137	3082	41590
138	3102	41535
139	3124	41508
140	3148	41511
141	3170	41488
142	3196	41504
143	3219	41500
144	3242	41483
145	3269	41517
146	3293	41519
147	3316	41498
148	3338	41479
149	3361	41460
150	3385	41449
151	3409	41455
152	3430	41417
153	3452	41390
154	3477	41391
155	3502	41406
156	3523	41358
157	3547	41355
158	3568	41315
159	3589	41279
160	3613	41278
161	3635	41249
162	3657	41222
163	3682	41228
164	3707	41231
165	3730	41211
166	3752	41187
167	3775	41171
168	3798	41154
169	3824	41170
170	3849	41176
171	3873	41171
172	3893	41123
173	3914	41077
174	3936	41052
175	3959	41032
176	3982	41022
177	4003	40980
178	4028	40978
179	4051	40960
180	4074	40948
181	4098	40935
182	4119	40899
183	4142	40885
184	4164	40860
185	4186	40829
186	4210	40821
187	4234	40810
188	4257	40793
189	4279	40769
190	4303	40756
191	4327	40753
192	4349	40727
193	4375	40735
194	4399	40724
195	4421	40698
196	4446	40699
197	4467	40659
198	4488	40624
199	4513	40625
200	4535	40590
201	4557	40569
202	4576	40511
203	4601	40508
204	4622	40474
205	4649	40493
206	4673	40479
207	4698	40475
208	4721	40458
209	4741	40412
210	4766	40410
211	4787	40379
212	4809	40353
213	4832	40331
214	4858	40334
215	4882	40324
216	4905	40304
217	4926	40269
218	4947	40233
219	4967	40189
220	5001	40258
221	5026	40253
222	5048	40232
223	5071	40210
224	5094	40192
225	5117	40167
226	5139	40138
227	5158	40093
228	5179	40053
229	5205	40062
230	5227	40035
231	5250	40011
232	5271	39973
233	5292	39944
234	5314	39916
235	5340	39918
236	5363	39894
237	5384	39865
238	5406	39838
239	5432	39835
240	5456	39825
241	5477	39793
242	5500	39770
243	5522	39746
244	5545	39724
245	5570	39716
246	5593	39697
247	5612	39650
248	5633	39616
249	5662	39638
250	5685	39619
251	5709	39605
252	5731	39579
253	5754	39558
254	5778	39540
255	5802	39529
256	5824	39504
257	5844	39464
258	5868	39449
259	5890	39419
260	5913	39402
261	5935	39371
262	5957	39343
263	5978	39315
264	6000	39283
265	6021	39252
266	6043	39226
267	6070	39229
268	6095	39226
269	6118	39206
270	6144	39204
271	6174	39225
272	6198	39209
273	6224	39207
274	6246	39180
275	6273	39188
276	6299	39183
277	6323	39170
278	6346	39149
279	6369	39127
280	6392	39103
281	6412	39063
282	6435	39044
283	6458	39024
284	6483	39014
285	6506	38995
286	6531	38983
287	6556	38974
288	6582	38973
289	6604	38946
290	6626	38913
291	6650	38902
292	6674	38882
293	6697	38865
294	6722	38854
295	6747	38844
296	6772	38831
297	6796	38818
298	6819	38795
299	6845	38792
300	6870	38778
301	6891	38747
302	6916	38737
303	6935	38693
304	6957	38665
305	6981	38650
306	7004	38624
307	7023	38581
308	7038	38515
309	7063	38505
310	7085	38480
311	7106	38448
312	7126	38411
313	7150	38392
314	7172	38367
315	7192	38330
316	7214	38301
317	7236	38274
318	7257	38243
319	7276	38204
320	7300	38184
321	7321	38156
322	7343	38128
323	7365	38099
324	7386	38069
325	7406	38033
326	7426	37996
327	7451	37981
328	7476	37972
329	7498	37947
330	7520	37922
331	7544	37905
332	7565	37871
333	7586	37839
334	7606	37807
335	7631	37793
336	7656	37783
337	7680	37767
338	7702	37738
339	7726	37722
340	7745	37684
341	7769	37666
342	7789	37630
343	7813	37614
344	7838	37601
345	7863	37587
346	7883	37554
347	7903	37520
348	7927	37501
349	7952	37489
350	7975	37469
351	7999	37453
352	8023	37433
353	8048	37422
354	8073	37412
355	8096	37387
356	8115	37350
357	8139	37334
358	8164	37319
359	8187	37297
360	8208	37268
361	8228	37232
362	8252	37215
363	8276	37199
364	8301	37184
365	8321	37153
366	8346	37137
367	8372	37131
368	8394	37104
369	8417	37083
370	8441	37063
371	8477	37100
372	8523	37178
373	8552	37181
374	8577	37167
375	8608	37180
376	8635	37174
377	8654	37137
378	8679	37122
379	8701	37096
380	8725	37075
381	8747	37052
382	8769	37026
383	8791	36999
384	8817	36986
385	8840	36965
386	8875	36994
387	8896	36959
388	8918	36935
389	8940	36909
390	8965	36891
391	8990	36879
392	9013	36858
393	9036	36833
394	9057	36802
395	9082	36789
396	9106	36769
397	9129	36747
398	9150	36717
399	9172	36690
400	9193	36660
401	9216	36637
402	9239	36612
403	9266	36607
404	9288	36579
405	9312	36560
406	9335	36538
407	9358	36515
408	9380	36491
409	9401	36457
410	9426	36446
411	9450	36424
412	9467	36381
413	9493	36367
414	9516	36347
415	9539	36322
416	9563	36304
417	9589	36291
418	9610	36264
419	9638	36257
420	9661	36237
421	9680	36198
422	9704	36178
423	9731	36171
424	9756	36156
425	9779	36134
426	9800	36104
427	9820	36070
428	9845	36055
429	9866	36024
430	9887	35994
431	9909	35968
432	9931	35940
433	9951	35907
434	9975	35887
435	9999	35868
436	10019	35836
437	10041	35809
438	10065	35792
439	10087	35764
440	10109	35740
441	10133	35719
442	10156	35696
443	10178	35671
444	10198	35638
445	10225	35628
446	10247	35603
447	10273	35591
448	10297	35569
449	10320	35548
450	10344	35528
451	10369	35513
452	10387	35474
453	10408	35443
454	10436	35436
455	10456	35405
456	10475	35368
457	10499	35349
458	10526	35339
459	10549	35316
460	10572	35294
461	10592	35263
462	10615	35240
463	10638	35217
464	10660	35192
465	10683	35167
466	10705	35141
467	10722	35101
468	10744	35073
469	10766	35047
470	10789	35024
471	10815	35012
472	10837	34985
473	10863	34973
474	10888	34959
475	10912	34937
476	10935	34916
477	10957	34889
478	10979	34863
479	11000	34835
480	11024	34815
481	11046	34789
482	11065	34752
483	11091	34742
484	11115	34721
485	11139	34700
486	11159	34669
487	11180	34642
488	11205	34623
489	11228	34602
490	11249	34573
491	11269	34541
492	11289	34510
493	11309	34477
494	11331	34450
495	11352	34422
496	11374	34396
497	11395	34369
498	11418	34347
499	11439	34318
500	11461	34293
501	11480	34259
502	11504	34240
503	11526	34215
504	11549	34190
505	11573	34170
506	11593	34140
507	11619	34125
508	11638	34091
509	11662	34073
510	11689	34061
511	11717	34052
512	11741	34033
513	11763	34009
514	11786	33987
515	11812	33973
516	11841	33966
517	11869	33959
518	11894	33942
519	11919	33925
520	11944	33906
521	11966	33882
522	11992	33868
523	12017	33849
524	12037	33819
525	12058	33790
526	12080	33766
527	12105	33749
528	12127	33723
529	12153	33709
530	12177	33689
531	12198	33660
532	12220	33635
533	12241	33607
534	12261	33576
535	12285	33555
536	12309	33535
537	12332	33513
538	12354	33488
539	12380	33472
540	12405	33455
541	12433	33446
542	12458	33429
543	12480	33403
544	12501	33376
545	12524	33354
546	12545	33323
547	12567	33298
548	12590	33275
549	12611	33249
550	12636	33230
551	12660	33211
552	12686	33194
553	12706	33166
554	12732	33151
555	12754	33125
556	12777	33102
557	12799	33077
558	12820	33047
559	12839	33015
560	12863	32996
561	12885	32971
562	12905	32940
563	12927	32913
564	12946	32882
565	12968	32856
566	12993	32839
567	13015	32812
568	13036	32786
569	13057	32757
570	13080	32736
571	13103	32713
572	13127	32692
573	13153	32677
574	13174	32650
575	13199	32631
576	13223	32612
577	13250	32598
578	13272	32574
579	13295	32551
580	13316	32523
581	13336	32492
582	13360	32473
583	13383	32451
584	13408	32432
585	13429	32405
586	13450	32378
587	13475	32359
588	13498	32337
589	13519	32309
590	13543	32290
591	13568	32270
592	13591	32248
593	13614	32224
594	13647	32227
595	13673	32211
596	13695	32186
597	13717	32160
598	13740	32137
599	13765	32118
600	13789	32099
601	13815	32082
602	13837	32058
603	13862	32040
604	13880	32006
605	13901	31978
606	13927	31961
607	13952	31944
608	13977	31924
609	13999	31901
610	14023	31879
611	14049	31862
612	14068	31833
613	14089	31805
614	14112	31782
615	14135	31758
616	14159	31737
617	14182	31714
618	14212	31708
619	14237	31688
620	14262	31671
621	14285	31648
622	14307	31622
623	14324	31586
624	14349	31569
625	14374	31549
626	14398	31528
627	14423	31511
628	14443	31481
629	14468	31462
630	14489	31435
631	14510	31408
632	14531	31380
633	14555	31361
634	14579	31339
635	14601	31316
636	14622	31288
637	14644	31263
638	14667	31239
639	14692	31222
640	14715	31197
641	14738	31176
642	14760	31150
643	14785	31133
644	14807	31107
645	14827	31077
646	14852	31060
647	14876	31037
648	14899	31016
649	14921	30991
650	14942	30962
651	14960	30930
652	14985	30911
653	15007	30886
654	15030	30863
655	15053	30842
656	15075	30815
657	15097	30791
658	15118	30765
659	15142	30744
660	15166	30722
661	15189	30700
662	15208	30669
663	15227	30637
664	15252	30618
665	15270	30585
666	15292	30562
667	15314	30538
668	15339	30518
669	15363	30496
670	15386	30475
671	15409	30452
672	15432	30430
673	15461	30418
674	15485	30396
675	15506	30371
676	15528	30345
677	15556	30332
678	15578	30308
679	15601	30285
680	15625	30263
681	15648	30242
682	15670	30217
683	15690	30188
684	15715	30168
685	15739	30149
686	15761	30122
687	15785	30101
688	15807	30078
689	15830	30055
690	15853	30031
691	15874	30006
692	15900	29987
693	15923	29965
694	15953	29955
695	15989	29956
696	16028	29964
697	16064	29964
698	16102	29971
699	16125	29948
700	16146	29919
701	16174	29905
702	16200	29888
703	16221	29862
704	16244	29839
705	16267	29815
706	16288	29789
707	16315	29772
708	16339	29752
709	16362	29729
710	16386	29706
711	16410	29685
712	16428	29655
713	16451	29630
714	16471	29602
715	16492	29576
716	16515	29553
717	16537	29527
718	16560	29504
719	16582	29480
720	16602	29451
721	16627	29432
722	16647	29404
723	16672	29383
724	16695	29360
725	16720	29341
726	16739	29311
727	16756	29278
728	16782	29260
729	16805	29237
730	16830	29217
731	16853	29194
732	16876	29171
733	16897	29145
734	16920	29121
735	16946	29103
736	16966	29075
737	16988	29050
738	17009	29024
739	17030	28998
740	17055	28978
741	17080	28958
742	17105	28939
743	17131	28920
744	17155	28898
745	17178	28876
746	17202	28854
747	17226	28833
748	17248	28809
749	17274	28790
750	17297	28768
751	17319	28742
752	17341	28717
753	17365	28697
754	17392	28680
755	17415	28657
756	17437	28633
757	17461	28611
758	17483	28587
759	17505	28562
760	17534	28548
761	17557	28525
762	17578	28499
763	17600	28474
764	17625	28453
765	17647	28429
766	17670	28406
767	17691	28380
768	17715	28359
769	17738	28336
770	17761	28313
771	17778	28280
772	17799	28253
773	17820	28227
774	17843	28203
775	17865	28179
776	17891	28161
777	17912	28135
778	17937	28115
779	17958	28089
780	17981	28065
781	18008	28048
782	18032	28027
783	18057	28008
784	18081	27986
785	18107	27967
786	18130	27944
787	18153	27920
788	18175	27897
789	18198	27874
790	18222	27851
791	18244	27827
792	18269	27806
793	18294	27787
794	18314	27760
795	18350	27755
796	18378	27740
797	18399	27714
798	18426	27697
799	18452	27679
800	18476	27656
801	18498	27632
802	18522	27610
803	18551	27596
804	18573	27572
805	18594	27546
806	18617	27522
807	18639	27497
808	18663	27475
809	18690	27458
810	18719	27444
811	18744	27423
812	18767	27400
813	18792	27380
814	18818	27362
815	18848	27349
816	18870	27324
817	18893	27300
818	18920	27282
819	18945	27262
820	18970	27242
821	18992	27217
822	19014	27193
823	19039	27173
824	19062	27149
825	19087	27128
826	19109	27104
827	19134	27084
828	19160	27065
829	19187	27047
830	19214	27029
831	19236	27005
832	19257	26979
833	19279	26953
834	19302	26931
835	19325	26907
836	19345	26880
837	19368	26857
838	19387	26828
839	19413	26808
840	19436	26785
841	19460	26764
842	19482	26739
843	19505	26715
844	19528	26692
845	19551	26670
846	19577	26650
847	19602	26629
848	19623	26603
849	19643	26576
850	19666	26553
851	19688	26528
852	19713	26508
853	19735	26483
854	19755	26456
855	19780	26436
856	19803	26411
857	19826	26389
858	19851	26368
859	19873	26343
860	19896	26321
861	19921	26300
862	19945	26277
863	19968	26254
864	19989	26229
865	20010	26203
866	20035	26182
867	20055	26155
868	20078	26132
869	20101	26109
870	20124	26084
871	20144	26058
872	20168	26035
873	20190	26012
874	20215	25991
875	20237	25967
876	20258	25940
877	20280	25916
878	20300	25889
879	20322	25864
880	20346	25842
881	20373	25824
882	20394	25799
883	20415	25773
884	20439	25751
885	20464	25730
886	20487	25707
887	20509	25682
888	20529	25655
889	20554	25634
890	20577	25611
891	20599	25587
892	20622	25564
893	20642	25537
894	20668	25517
895	20688	25491
896	20711	25468
897	20732	25442
898	20755	25419
899	20778	25396
900	20800	25371
901	20823	25348
902	20845	25323
903	20867	25299
904	20886	25272
905	20911	25250
906	20932	25224
907	20952	25197
908	20974	25174
909	20997	25150
910	21018	25125
911	21042	25103
912	21061	25075
913	21087	25055
914	21109	25032
915	21133	25009
916	21153	24982
917	21177	24961
918	21200	24937
919	21224	24915
920	21245	24890
921	21270	24868
922	21293	24846
923	21313	24819
924	21334	24794
925	21358	24771
926	21380	24747
927	21402	24723
928	21422	24697
929	21443	24671
930	21465	24647
931	21489	24625
932	21512	24601
933	21533	24577
934	21552	24549
935	21574	24525
936	21596	24500
937	21618	24476
938	21640	24452
939	21663	24428
940	21687	24406
941	21709	24382
942	21732	24359
943	21754	24335
944	21774	24308
945	21794	24282
946	21820	24262
947	21844	24241
948	21863	24213
949	21889	24194
950	21909	24167
951	21932	24144
952	21955	24120
953	21977	24096
954	22001	24074
955	22022	24049
956	22044	24025
957	22069	24004
958	22092	23981
959	22114	23957
960	22135	23932
961	22158	23908
962	22179	23883
963	22200	23858
964	22221	23832
965	22240	23805
966	22265	23785
967	22289	23762
968	22309	23736
969	22334	23715
970	22351	23686
971	22374	23663
972	22396	23639
973	22415	23611
974	22442	23593
975	22467	23572
976	22488	23547
977	22512	23524
978	22532	23499
979	22559	23479
980	22578	23453
981	22601	23430
982	22624	23406
983	22648	23385
984	22672	23362
985	22699	23343
986	22727	23325
987	22750	23303
988	22773	23279
989	22797	23257
990	22823	23237
991	22847	23216
992	22872	23194
993	22894	23170
994	22914	23144
995	22937	23121
996	22963	23101
997	22986	23078
998	23008	23054
999	23031	23031
1000	23051	23005
1001	23075	22983
1002	23097	22958
1003	23117	22933
1004	23138	22908
1005	23163	22887
1006	23185	22863
1007	23210	22842
1008	23233	22818
1009	23254	22794
1010	23281	22775
1011	23306	22753
1012	23328	22729
1013	23347	22702
1014	23369	22679
1015	23402	22665
1016	23429	22645
1017	23456	22627
1018	23479	22604
1019	23499	22578
1020	23521	22553
1021	23545	22531
1022	23570	22510
1023	23592	22486
1024	23618	22466
1025	23642	22444
1026	23667	22423
1027	23690	22399
1028	23715	22378
1029	23745	22361
1030	23769	22339
1031	23789	22314
1032	23817	22295
1033	23839	22271
1034	23858	22244
1035	23882	22222
1036	23904	22198
1037	23925	22173
1038	23946	22149
1039	23969	22125
1040	23992	22103
1041	24013	22077
1042	24034	22052
1043	24058	22030
1044	24083	22009
1045	24107	21987
1046	24131	21965
1047	24154	21941
1048	24177	21919
1049	24200	21895
1050	24226	21875
1051	24253	21856
1052	24276	21832
1053	24302	21811
1054	24325	21789
1055	24347	21765
1056	24368	21740
1057	24392	21717
1058	24415	21694
1059	24437	21670
1060	24458	21646
1061	24481	21622
1062	24504	21600
1063	24529	21579
1064	24552	21555
1065	24571	21528
1066	24595	21506
1067	24619	21484
1068	24643	21462
1069	24661	21434
1070	24680	21408
1071	24701	21383
1072	24725	21361
1073	24747	21336
1074	24770	21314
1075	24791	21289
1076	24817	21268
1077	24837	21243
1078	24860	21219
1079	24888	21201
1080	24916	21182
1081	24939	21159
1082	24961	21135
1083	24981	21109
1084	25004	21087
1085	25027	21063
1086	25049	21040
1087	25068	21013
1088	25093	20991
1089	25115	20967
1090	25136	20943
1091	25155	20917
1092	25183	20898
1093	25209	20877
1094	25231	20853
1095	25251	20827
1096	25272	20802
1097	25294	20779
1098	25317	20756
1099	25338	20731
1100	25365	20711
1101	25390	20690
1102	25415	20668
1103	25439	20646
1104	25465	20625
1105	25485	20600
1106	25508	20576
1107	25526	20550
1108	25550	20528
1109	25572	20504
1110	25602	20486
1111	25624	20462
1112	25648	20440
1113	25668	20415
1114	25690	20390
1115	25712	20367
1116	25737	20346
1117	25761	20323
1118	25782	20298
1119	25815	20283
1120	25839	20261
1121	25864	20239
1122	25886	20215
1123	25909	20192
1124	25930	20168
1125	25955	20146
1126	25979	20124
1127	25999	20099
1128	26019	20073
1129	26041	20049
1130	26063	20026
1131	26086	20003
1132	26112	19981
1133	26137	19960
1134	26158	19935
1135	26178	19910
1136	26201	19887
1137	26224	19864
1138	26243	19838
1139	26266	19814
1140	26287	19790
1141	26311	19768
1142	26333	19744
1143	26358	19722
1144	26381	19699
1145	26403	19675
1146	26425	19652
1147	26447	19628
