iter	R2	RMSE
0	-1.910255376	22381.33766
1	-1.663554502	21411.70657
2	-1.440020553	20493.55169
3	-1.238163689	19627.56445
4	-1.055076419	18807.64753
5	-0.8898233311	18035.62066
6	-0.7384892859	17298.42243
7	-0.602819121	16609.73664
8	-0.4794993688	15957.97871
9	-0.3673607635	15341.29588
10	-0.2655125318	14758.89062
11	-0.1734805561	14212.10601
12	-0.08997290278	13697.09096
13	-0.01391972074	13210.59183
14	0.05513146589	12752.81861
15	0.1175133828	12324.64882
16	0.174900113	11917.18697
17	0.2261814344	11540.9102
18	0.2725581237	11189.73079
19	0.3150892241	10857.69127
20	0.3542216212	10542.95225
21	0.3895858387	10250.21062
22	0.4221298577	9973.224999
23	0.4513115843	9718.145225
24	0.4784873308	9474.426277
25	0.5028962545	9250.048437
26	0.5254105857	9038.149333
27	0.5450183939	8849.473007
28	0.5636533488	8666.351762
29	0.5800401773	8502.063827
30	0.5958147324	8340.858027
31	0.6105418972	8187.491481
32	0.6237071679	8047.916504
33	0.6361238736	7914.022316
34	0.6469226947	7795.7049
35	0.6565801718	7688.350474
36	0.666885482	7572.116193
37	0.6764675467	7462.415296
38	0.6857455622	7354.636264
39	0.6940473747	7256.840559
40	0.7013659081	7169.521669
41	0.7081911382	7087.119039
42	0.7145141934	7009.914968
43	0.7202686177	6938.907289
44	0.7257017514	6871.190772
45	0.7306424803	6809.026766
46	0.7351720308	6751.533303
47	0.7395137942	6695.960053
48	0.7437513847	6641.271774
49	0.7472751539	6595.450414
50	0.7509910744	6546.783005
51	0.7538854285	6508.623544
52	0.7569992482	6467.319219
53	0.7599176362	6428.36634
54	0.7624835346	6393.922236
55	0.7651852217	6357.453645
56	0.7674772843	6326.349522
57	0.7696727921	6296.411604
58	0.7716686085	6269.072623
59	0.7735041651	6243.823231
60	0.7753759559	6217.969825
61	0.7769565608	6196.054308
62	0.7786363763	6172.677922
63	0.7799272345	6154.653952
64	0.7813897446	6134.169256
65	0.7829338366	6112.467378
66	0.7839992456	6097.448251
67	0.7851339873	6081.410946
68	0.7862900219	6065.029102
69	0.7876301164	6045.983445
70	0.788730325	6030.302124
71	0.7895691267	6018.319197
72	0.7904780958	6005.306879
73	0.7915167844	5990.402965
74	0.7922690058	5979.586311
75	0.7931490482	5966.906752
76	0.793846424	5956.839867
77	0.7945460571	5946.723272
78	0.7953701346	5934.785111
79	0.7959989102	5925.660052
80	0.7967434766	5914.836383
81	0.7974483654	5904.571219
82	0.7980724506	5895.467865
83	0.7985896759	5887.912581
84	0.7993437005	5876.880887
85	0.7999398447	5868.144369
86	0.8004901344	5860.068291
87	0.8010071798	5852.469954
88	0.8016864064	5842.473232
89	0.8021701007	5835.343877
90	0.8026569014	5828.15993
91	0.80315957	5820.732508
92	0.8036954784	5812.803483
93	0.804302025	5803.816263
94	0.8048328287	5795.939893
95	0.805343704	5788.349111
96	0.8060682611	5777.566261
97	0.8065028125	5771.089607
98	0.8069530365	5764.371689
99	0.8073557252	5758.356421
100	0.8079316642	5749.74224
101	0.8085726907	5740.139363
102	0.8090676445	5732.713718
103	0.8096094098	5724.574731
104	0.8102772407	5714.525899
105	0.810867621	5705.627726
106	0.8112410296	5699.992563
107	0.8115287264	5695.647088
108	0.8120349492	5687.992858
109	0.8124341759	5681.949165
110	0.8128008562	5676.392509
111	0.813097698	5671.890194
112	0.8135735589	5664.665159
113	0.8140478402	5657.454927
114	0.8146820408	5647.79915
115	0.8151123715	5641.237901
116	0.815343413	5637.712064
117	0.8156822326	5632.537474
118	0.8159963518	5627.735867
119	0.816304641	5623.019391
120	0.8166796983	5617.2761
121	0.8171206458	5610.516306
122	0.8175493907	5603.93576
123	0.8177853333	5600.311121
124	0.8181103392	5595.314416
125	0.8184012679	5590.83783
126	0.8187443732	5585.553781
127	0.8192347099	5577.993584
128	0.819617926	5572.077871
129	0.8198835338	5567.973992
130	0.8202481118	5562.336004
131	0.8205352007	5557.892315
132	0.8208717984	5552.677778
133	0.8211798377	5547.901368
134	0.8216399127	5540.759852
135	0.8218691024	5537.198815
136	0.8220904094	5533.758083
137	0.8224081618	5528.814137
138	0.8227217237	5523.931054
139	0.8230078343	5519.471699
140	0.8232250257	5516.08412
141	0.8233892595	5513.52115
142	0.8237803767	5507.412721
143	0.8241248389	5502.02733
144	0.8243741542	5498.126193
145	0.8245561336	5495.27694
146	0.8248121617	5491.265802
147	0.8250252686	5487.924866
148	0.8253548023	5482.754666
149	0.8255906638	5479.051136
150	0.8258465551	5475.030262
151	0.8264026593	5466.28188
152	0.8266602882	5462.224228
153	0.8269088258	5458.306905
154	0.8272184899	5453.422202
155	0.827676236	5446.193598
156	0.8279630538	5441.659354
157	0.8281296396	5439.024098
158	0.8284368659	5434.160668
159	0.8287135212	5429.777455
160	0.8290417725	5424.57218
161	0.8295390892	5416.676405
162	0.8297481489	5413.353779
163	0.8300325259	5408.830841
164	0.8304204729	5402.654547
165	0.8307566174	5397.297258
166	0.8310053766	5393.329241
167	0.8312190506	5389.918544
168	0.831465737	5385.978213
169	0.8317746452	5381.039941
170	0.8319687501	5377.934619
